ID,Question,Answer,Name,,,,,,,,,,,,,,,,,,,,,,
1,?Complementary Angles add up to,90 Degrees,MS.Math 1,,,,,,,,,,,,,,,,,,,,,,
2,Congruent means:,All sides and all angles are equal,MS.Math 2,,,,,,,,,,,,,,,,,,,,,,
3,"Derek has 12 shirts in his closet. If 2 out of every 3 of these shirts are striped, how many striped shirts does Derek have in his closet? (A)2 (B)8 (C)11 (D) 18",B,MS.Math 3,,,,,,,,,,,,,,,,,,,,,,
4,If 2n+1=21  n=? (A)10 (B)11 (C)18 (D) 20,A,MS.Math 4,,,,,,,,,,,,,,,,,,,,,,
5,"If a word problem asks how much for each, what operation do you use?",- (division).,MS.Math 5,,,,,,,,,,,,,,,,,,,,,,
6,"If the circumference of a circle is doubled, how does the diameter of the circle change?",The diameter becomes twice as long,MS.Math 6,,,,,,,,,,,,,,,,,,,,,,
7,Jeffrey wants to measure the mass of his fish tank. Which tool is best for him to use? (A)ruler (B)scale (C)tape measure (D) measuring cup,B,MS.Math 7,,,,,,,,,,,,,,,,,,,,,,
8,"John read the quarter of the time that Tom read. Tom read only two-fifth of the time that Sasha read. Sasha read twice as long as Mike. If Mike read 5 hours, how long did John read? ",1 hour,MS.Math 8,,,,,,,,,,,,,,,,,,,,,,
9,"Linda spent 3/4 of her savings on furniture. She then spent 1/2 of her remaining savings on a fridge. If the fridge cost her $150, what were her original savings? ",1200,MS.Math 9,,,,,,,,,,,,,,,,,,,,,,
10,Reflection means the image  _________,Flips,MS.Math 10,,,,,,,,,,,,,,,,,,,,,,
11,Supplementary Angles add up to:,180 Degrees,MS.Math 11,,,,,,,,,,,,,,,,,,,,,,
12,"The function y = 3.50x + 2 represents the total amount of money, y, saved over x weeks.  What is true about the function? 
(A)It is linear because it is always increasing (B)It is linear because it increases at a constant rate. (C)It is nonlinear because it is always increasing.(D) aIt is nonlinear because it increases at a constant rate",B,MS.Math 12,,,,,,,,,,,,,,,,,,,,,,
13,"f a car travels at a rate of 50 miles per hour, what is the distance, in miles, traveled in 5 hours?", ANSWER: 250,MS.Math 13,,,,,,,,,,,,,,,,,,,,,,
14,The sum of the interior angles of a triangle add up to:,180 degrees,MS.Math 14,,,,,,,,,,,,,,,,,,,,,,
