ID,Question,Answer,Name,,,,,,,,,,,,,,,,,,,,,,
1,"402 × N6 = 34,572  N=?",86,ES.Math 1,,,,,,,,,,,,,,,,,,,,,,
2,A large box contains 18 small boxes and each small box contains 25 chocolate bars. How many chocolate bars are in the large box? ,450 chocolate bars,ES.Math 2,,,,,,,,,,,,,,,,,,,,,,
3,It takes John 25 minutes to walk to the car park and 45 to drive to work. At what time should he get out of the house in order to get to work at 9:00 a.m.? ,7:50 a.m.,ES.Math 3,,,,,,,,,,,,,,,,,,,,,,
4,"If a word problem asks for the difference, what operation is used?",- (subtraction).,ES.Math 4,,,,,,,,,,,,,,,,,,,,,,
5,How many minutes are in one week? ,"10,080 minutes",ES.Math 5,,,,,,,,,,,,,,,,,,,,,,
6,590.92 − 219.38 =,371.5,ES.Math 6,,,,,,,,,,,,,,,,,,,,,,
7,John can eat a quarter of a pizza in one minute. How long does it take John to eat one pizza and a half? ,6 minutes.,ES.Math 7,,,,,,,,,,,,,,,,,,,,,,
8,1.21/11=?,0.11,ES.Math 8,,,,,,,,,,,,,,,,,,,,,,
9,A painter charges $ 225 for materials and $ 35 per hour for labor. The total cost of painting an office is $ 330. How many hours did it take the painter to paint the office? ,1. 3 hours,ES.Math 9,,,,,,,,,,,,,,,,,,,,,,
10,What are parallel lines?,Lines in the same plane that never intersect or cross.,ES.Math 10,,,,,,,,,,,,,,,,,,,,,,
11,"A factory produced 2,300 TV sets in its first year of production. 4500 sets were produced in its second year and 500 more sets were produced in its third year than in its second year. How many TV sets were produced in three years? ","11,800 TV sets",ES.Math 11,,,,,,,,,,,,,,,,,,,,,,
12,"The product of two numbers is 42.63. If one number is 2.1, find the other.",20.3,ES.Math 12,,,,,,,,,,,,,,,,,,,,,,
13,What is the top number in a fraction called?,The numerater,ES.Math 13,,,,,,,,,,,,,,,,,,,,,,
14,"If 3a + 2 = a-6, then a=? ",D,ES.Math 14,,,,,,,,,,,,,,,,,,,,,,
15,"There are approximately 925,100 types of insects in the world. If one thousand more types were discovered, which digit in the number would change?",5,ES.Math 15,,,,,,,,,,,,,,,,,,,,,,
16,"An apple orchard has 30 rows of apple trees, and each row has 20 trees. What is the total number of apple trees in the orchard?",600,ES.Math 16,,,,,,,,,,,,,,,,,,,,,,
17,"The list below shows the number of seconds between each spray of water from the
fountain in a town square.  25, 10, 30, 25, 40 What is the mean (average) number of seconds between each spray of water?",26,ES.Math 17,,,,,,,,,,,,,,,,,,,,,,
18,"Lisa bought a bracelet for $3.25, including tax. If she gave the cashier $5.00, how much change did she receive?",1.75,ES.Math 18,,,,,,,,,,,,,,,,,,,,,,
